PRODUCT_ID,segment
838794,8
838797,8
838800,8
838805,3
838811,0
838824,10
838829,10
838842,1
838844,0
838859,7
838862,8
838867,1
838882,1
838890,6
838940,10
838947,6
838948,6
838958,0
838971,7
838981,10
839006,8
839035,5
839040,7
839064,0
839075,6
839077,8
839080,8
839094,2
839112,6
839113,6
839120,3
839130,0
839147,2
839152,1
839162,7
839188,7
839191,7
839192,1
839208,1
839225,7
839231,8
839237,0
839238,1
839243,7
839248,0
839262,1
839277,0
839283,4
839299,6
839319,8
839320,9
839326,6
839346,7
839357,8
839358,8
839383,0
839418,8
839419,2
839438,10
839454,8
839455,4
839461,8
839485,1
839493,8
839533,8
839544,8
839555,4
839576,0
839582,8
839586,0
839605,0
839624,8
839630,10
839634,6
839653,0
839656,2
839667,0
839683,8
839710,0
839730,10
839747,2
839748,10
839753,2
839766,0
839782,0
839784,0
839806,0
839818,7
839825,8
839837,6
839839,6
839849,2
839853,4
839870,10
839873,10
839887,8
839909,8
839956,0
839969,8
840010,0
840011,7
840012,3
840047,5
840102,7
840103,10
840114,8
840146,8
840173,8
840186,6
840227,1
840244,7
840255,1
840260,1
840298,8
840322,8
840361,2
840372,6
840386,8
840390,10
840393,10
840493,6
840495,0
840501,5
840505,8
840510,8
840522,10
840563,10
840566,10
840573,0
840584,8
840587,4
840601,2
840602,9
840609,0
840634,0
840640,1
840645,10
840685,0
840690,8
840692,1
840694,0
840697,8
840718,8
840723,6
840732,3
840735,10
840758,10
840764,7
840772,6
840831,10
840858,3
840890,1
840891,8
840893,0
840914,4
840938,5
840989,4
841016,7
841024,8
841025,0
841035,0
841037,8
841116,6
841128,6
841138,8
841159,1
841173,8
841179,0
841194,3
841206,9
841210,0
841220,2
841223,1
841228,1
841236,6
841240,11
841266,7
841282,10
841287,1
841309,1
841321,8
841327,10
841365,3
841383,0
841389,8
841413,10
841443,5
841469,10
841478,0
841490,0
841492,8
841547,6
841549,6
841565,1
841579,10
841584,8
841591,0
841606,1
841614,4
841615,7
841683,8
841686,8
841694,0
841697,0
841729,5
841741,8
841762,1
841781,9
841787,9
841799,3
841820,4
841833,3
841841,8
841853,8
841872,7
841899,7
841905,7
841951,0
842007,0
842033,8
842049,8
842054,3
842068,5
842082,10
842091,0
842125,7
842126,1
842140,2
842170,7
842221,10
842236,10
842249,3
842263,0
842264,0
842266,6
842286,7
842297,0
842308,8
842312,8
842342,8
842350,1
842366,10
842368,7
842385,1
842392,7
842407,3
842416,11
842417,0
842423,1
842426,4
842434,7
842455,7
842470,0
842474,7
842475,0
842477,6
842499,0
842522,3
842530,4
842533,1
842535,6
842558,4
842602,5
842630,1
842640,0
842647,3
842657,0
842676,8
842698,7
842704,3
842707,2
842711,6
842730,1
842762,7
842769,7
842783,4
842789,6
842795,0
842805,6
842817,8
842843,8
842855,8
842886,7
842900,4
842926,0
842930,7
842963,0
842978,6
842993,8
842995,3
843013,10
843031,8
843043,6
843048,5
843064,10
843068,6
843073,0
843076,6
843084,10
843087,0
843111,1
843114,7
843116,0
843118,4
843127,8
843171,7
843181,6
843206,0
843208,6
843210,8
843222,8
843237,0
843239,6
843244,8
843248,10
843259,2
843260,3
843271,6
843280,6
843304,2
843306,7
843338,4
843339,10
843343,6
843346,7
843347,8
843361,1
843376,10
843418,7
843425,6
843441,3
843450,8
843453,3
843464,7
843487,8
843519,8
843558,7
843559,8
843564,6
843567,4
843571,6
843574,8
843585,5
843602,8
843603,4
843615,8
843656,8
843659,0
843689,1
843708,0
843728,7
843744,2
843756,2
843770,10
843776,6
843780,3
843819,7
843820,6
843841,6
843842,10
843885,8
843891,7
843896,5
843898,2
843911,11
843929,7
843935,8
843944,8
843948,0
843951,10
843976,0
843980,8
843991,8
843997,8
844023,8
844029,10
844041,6
844054,1
844106,4
844119,0
844155,5
844165,2
844166,1
844169,1
844175,7
844179,2
844198,0
844223,5
844230,0
844258,4
844278,8
844282,7
844311,6
844413,7
844424,1
844439,0
844441,7
844450,10
844462,5
844468,0
844476,8
844485,0
844493,0
844498,10
844503,8
844521,0
844544,6
844548,5
844559,8
844560,8
844633,5
844640,5
844647,5
844652,6
844671,8
844685,1
844697,7
844728,10
844740,7
844748,10
844759,7
844787,8
844792,5
844806,6
844818,2
844836,4
844839,2
844858,6
844870,8
844876,5
844894,5
844916,4
844929,7
844930,0
844932,3
844982,10
844984,8
844991,2
845001,10
845015,0
845032,8
845050,8
845052,1
845053,7
845078,2
845082,3
845090,8
845091,0
845108,4
845109,2
845138,0
845163,6
845193,2
845196,0
845208,2
845229,6
845245,0
845262,2
845265,7
845269,8
845288,8
845294,7
845300,8
845307,7
845319,0
845348,1
845370,10
845379,4
845419,8
845432,8
845462,1
845469,6
845495,8
845507,0
845508,0
845514,6
845522,10
845530,10
845537,1
845549,8
845571,8
845588,0
845622,2
845655,4
845671,10
845675,3
845677,1
845705,2
845709,5
845711,5
845715,1
845725,8
845774,7
845789,0
845790,8
845794,8
845814,7
845828,0
845838,6
845859,3
845868,3
845894,7
845896,0
845914,0
845955,8
845969,8
845975,1
845992,4
846000,8
846014,5
846015,0
846018,0
846032,10
846043,7
846045,10
846081,3
846091,5
846114,10
846118,4
846124,8
846176,6
846202,7
846220,8
846226,0
846241,7
846256,8
846260,0
846262,8
846270,0
846282,4
846284,0
846285,10
846293,8
846301,1
846318,10
846334,3
846362,5
846378,6
846380,10
846412,0
846417,2
846429,0
846441,4
846452,10
846463,4
846466,9
846474,6
846482,8
846493,10
846502,1
846503,6
846506,0
846533,8
846550,7
846554,3
846556,0
846561,3
846562,5
846633,8
846634,1
846638,0
846652,8
846656,7
846695,8
846698,6
846735,0
846743,7
846754,5
846760,1
846761,0
846764,7
846767,7
846811,7
846823,2
846830,1
846831,8
846833,7
846864,8
846892,4
846907,2
846946,5
846959,7
846986,4
846988,6
847010,8
847011,8
847015,0
847023,4
847025,7
847049,1
847057,6
847065,8
847066,7
847071,8
847119,8
847127,7
847129,4
847139,3
847149,7
847156,10
847169,8
847173,0
847174,11
847186,3
847207,7
847218,6
847219,4
847232,8
847239,10
847241,8
847260,0
847270,2
847277,8
